id,email,username,password,name__firstname,name__lastname,phone,address__geolocation__lat,address__geolocation__long,address__city,address__street,address__number,address__zipcode
1,john@gmail.com,johnd,m38rmF$,john,doe,1-570-236-7033,-37.3159,81.1496,kilcoole,new road,7682,12926-3874
2,morrison@gmail.com,mor_2314,83r5^_,david,morrison,1-570-236-7033,-37.3159,81.1496,kilcoole,Lovers Ln,7267,12926-3874
3,kevin@gmail.com,kevinryan,kev02937@,kevin,ryan,1-567-094-1345,40.3467,-30.131,Cullman,Frances Ct,86,29567-1452
4,don@gmail.com,donero,ewedon,don,romer,1-765-789-6734,50.3467,-20.131,San Antonio,Hunters Creek Dr,6454,98234-1734
5,derek@gmail.com,derek,jklg*_56,derek,powell,1-956-001-1945,40.3467,-40.131,san Antonio,adams St,245,80796-1234
6,david_r@gmail.com,david_r,3478*#54,david,russell,1-678-345-9856,20.1677,-10.6789,el paso,prospect st,124,12346-0456
7,miriam@gmail.com,snyder,f238&@*$,miriam,snyder,1-123-943-0563,10.3456,20.6419,fresno,saddle st,1342,96378-0245
8,william@gmail.com,hopkins,William56$hj,william,hopkins,1-478-001-0890,50.3456,10.6419,mesa,vally view ln,1342,96378-0245
9,kate@gmail.com,kate_h,kfejk@*_,kate,hale,1-678-456-1934,40.12456,20.5419,miami,avondale ave,345,96378-0245
10,jimmie@gmail.com,jimmie_k,klein*#%*,jimmie,klein,1-104-001-4567,30.24788,-20.545419,fort wayne,oak lawn ave,526,10256-4532
